x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-25.00000E-03,+1.76907975E+00,+16.86282991E+00,+48.91646E-03,+15.96458869E+00
-24.97500E-03,+1.76890309E+00,+16.86822799E+00,+46.81611E-03,+15.96694422E+00
-24.95000E-03,+1.76801977E+00,+16.86930761E+00,+45.65798E-03,+15.97283304E+00
-24.92500E-03,+1.76770570E+00,+16.87068166E+00,+44.55873E-03,+15.97852556E+00
-24.90000E-03,+1.76758792E+00,+16.87185943E+00,+43.96985E-03,+15.98343291E+00
-24.87500E-03,+1.76745051E+00,+16.87254646E+00,+43.26319E-03,+15.99059764E+00
-24.85000E-03,+1.76750940E+00,+16.87500013E+00,+43.22393E-03,+15.99501426E+00
-24.82500E-03,+1.76766644E+00,+16.88000563E+00,+42.94912E-03,+16.00109937E+00
-24.80000E-03,+1.76766644E+00,+16.88010378E+00,+42.79208E-03,+16.00698819E+00
-24.77500E-03,+1.76750940E+00,+16.88255745E+00,+42.39950E-03,+16.01248442E+00
-24.75000E-03,+1.76711682E+00,+16.88402965E+00,+41.53580E-03,+16.01582142E+00
-24.72500E-03,+1.76660645E+00,+16.88461854E+00,+40.69174E-03,+16.01955100E+00
-24.70000E-03,+1.76570350E+00,+16.88442224E+00,+40.27952E-03,+16.02112136E+00
-24.67500E-03,+1.76454536E+00,+16.88560001E+00,+40.12249E-03,+16.02347688E+00
-24.65000E-03,+1.76366204E+00,+16.88697406E+00,+38.59139E-03,+16.02602871E+00
-24.62500E-03,+1.76217021E+00,+16.88707221E+00,+38.06140E-03,+16.02583241E+00
-24.60000E-03,+1.76044282E+00,+16.88717036E+00,+37.60992E-03,+16.02583241E+00
-24.57500E-03,+1.75796952E+00,+16.88628704E+00,+36.86401E-03,+16.02436021E+00
-24.55000E-03,+1.75581028E+00,+16.88579630E+00,+35.25440E-03,+16.02406577E+00
-24.52500E-03,+1.75337624E+00,+16.88609074E+00,+34.66551E-03,+16.02269171E+00
-24.50000E-03,+1.75078516E+00,+16.88481483E+00,+33.44849E-03,+16.02072877E+00
