x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-25.00000E-03,+3.19739318E+00,+14.88104597E+00,+1.68545852E+00,+13.96239018E+00
-24.97500E-03,+3.18161115E+00,+14.90087166E+00,+1.67187498E+00,+13.99968604E+00
-24.95000E-03,+3.16598615E+00,+14.92815652E+00,+1.65318780E+00,+14.02893384E+00
-24.92500E-03,+3.15228483E+00,+14.96133020E+00,+1.63308729E+00,+14.04915212E+00
-24.90000E-03,+3.14180273E+00,+14.99489647E+00,+1.61636305E+00,+14.06289270E+00
-24.87500E-03,+3.13230210E+00,+15.02542019E+00,+1.60434986E+00,+14.07682957E+00
-24.85000E-03,+3.12115260E+00,+15.04691438E+00,+1.59084483E+00,+14.09508491E+00
-24.82500E-03,+3.10721573E+00,+15.06183272E+00,+1.57467021E+00,+14.12119201E+00
-24.80000E-03,+3.09060926E+00,+15.07184371E+00,+1.55449119E+00,+14.14926205E+00
-24.77500E-03,+3.07561240E+00,+15.08587873E+00,+1.53815953E+00,+14.17968761E+00
-24.75000E-03,+3.06352070E+00,+15.10226928E+00,+1.52536116E+00,+14.20972059E+00
-24.72500E-03,+3.05225342E+00,+15.12641343E+00,+1.51283761E+00,+14.23229440E+00
-24.70000E-03,+3.03831655E+00,+15.15546494E+00,+1.49607410E+00,+14.24897938E+00
-24.67500E-03,+3.02092490E+00,+15.18579236E+00,+1.47510991E+00,+14.26085517E+00
-24.65000E-03,+3.00353326E+00,+15.21435313E+00,+1.45728642E+00,+14.27273095E+00
-24.62500E-03,+2.98904676E+00,+15.23525844E+00,+1.44350658E+00,+14.28470489E+00
-24.60000E-03,+2.97722987E+00,+15.25321934E+00,+1.42823491E+00,+14.30237134E+00
-24.57500E-03,+2.96537371E+00,+15.26529142E+00,+1.41119659E+00,+14.32425812E+00
-24.55000E-03,+2.95092648E+00,+15.27481168E+00,+1.38991833E+00,+14.34869672E+00
-24.52500E-03,+2.93365261E+00,+15.28580414E+00,+1.37276223E+00,+14.37392050E+00
-24.50000E-03,+2.91708540E+00,+15.29954472E+00,+1.35913943E+00,+14.39973315E+00
-24.47500E-03,+2.90428703E+00,+15.31809450E+00,+1.34480997E+00,+14.42024587E+00
-24.45000E-03,+2.89243087E+00,+15.33998128E+00,+1.32545539E+00,+14.43801048E+00
-24.42500E-03,+2.88010361E+00,+15.36137732E+00,+1.30676820E+00,+14.45047514E+00
-24.40000E-03,+2.86385047E+00,+15.38748442E+00,+1.29161431E+00,+14.46254722E+00
-24.37500E-03,+2.84708697E+00,+15.40858602E+00,+1.28054333E+00,+14.46922122E+00
