x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-23.32500E-03,+6.49435E-03,-6.89451940E+00,-43.92776E-03,+6.74307477E+00
-23.30000E-03,+6.54083E-03,-6.80573165E+00,-43.88379E-03,+6.72397930E+00
-23.27500E-03,+6.64008E-03,-6.64750305E+00,-43.79460E-03,+6.70284237E+00
-23.25000E-03,+6.71168E-03,-6.48406082E+00,-43.67776E-03,+6.68663635E+00
-23.22500E-03,+6.71671E-03,-6.33830072E+00,-43.64007E-03,+6.67002202E+00
-23.20000E-03,+6.65766E-03,-6.18330703E+00,-43.57600E-03,+6.65595168E+00
-23.17500E-03,+6.66269E-03,-6.00676807E+00,-43.43028E-03,+6.64508485E+00
-23.15000E-03,+6.67902E-03,-5.78908584E+00,-43.34234E-03,+6.63644791E+00
-23.12500E-03,+6.61118E-03,-5.56571891E+00,-43.26319E-03,+6.62884740E+00
-23.10000E-03,+6.61621E-03,-5.35189990E+00,-43.22676E-03,+6.61980218E+00
-23.07500E-03,+6.58982E-03,-5.09872775E+00,-43.15766E-03,+6.61075695E+00
-23.05000E-03,+6.61118E-03,-4.86081952E+00,-43.04208E-03,+6.60171172E+00
-23.02500E-03,+6.57977E-03,-4.63132831E+00,-42.98053E-03,+6.59002830E+00
-23.00000E-03,+6.52324E-03,-4.41339491E+00,-42.94912E-03,+6.57639765E+00
-22.97500E-03,+6.48807E-03,-4.20211975E+00,-42.85113E-03,+6.56041147E+00
-22.95000E-03,+6.53706E-03,-4.02105833E+00,-42.73304E-03,+6.54502203E+00
-22.92500E-03,+6.49435E-03,-3.83914873E+00,-42.67525E-03,+6.52696296E+00
-22.90000E-03,+6.42274E-03,-3.66386605E+00,-42.61746E-03,+6.51034864E+00
-22.87500E-03,+6.48555E-03,-3.54027931E+00,-42.49058E-03,+6.49411122E+00
-22.85000E-03,+6.57977E-03,-3.40752188E+00,-42.40766E-03,+6.47850193E+00
-22.82500E-03,+6.57726E-03,-3.26248420E+00,-42.32349E-03,+6.46697554E+00
-22.80000E-03,+6.55339E-03,-3.16710099E+00,-42.28957E-03,+6.45551197E+00
-22.77500E-03,+6.53957E-03,-3.03098296E+00,-42.27324E-03,+6.44744036E+00
-22.75000E-03,+6.51068E-03,-2.91559339E+00,-42.11997E-03,+6.44056222E+00
-22.72500E-03,+6.54837E-03,-2.81182469E+00,-42.05590E-03,+6.43377831E+00
-22.70000E-03,+6.56219E-03,-2.68038614E+00,-42.03832E-03,+6.43176827E+00
-22.67500E-03,+6.54837E-03,-2.60023543E+00,-41.90892E-03,+6.43157982E+00
-22.65000E-03,+6.51570E-03,-2.45899788E+00,-41.82349E-03,+6.42633484E+00
-22.62500E-03,+6.54837E-03,-2.37287989E+00,-41.79334E-03,+6.41936248E+00
-22.60000E-03,+6.54837E-03,-2.23924292E+00,-41.69284E-03,+6.41920545E+00
-22.57500E-03,+6.54837E-03,-2.13333835E+00,-41.63128E-03,+6.41182478E+00
-22.55000E-03,+6.46420E-03,-2.02331960E+00,-41.55716E-03,+6.40460116E+00
-22.52500E-03,+6.42274E-03,-1.91107080E+00,-41.49435E-03,+6.39502201E+00
-22.50000E-03,+6.45415E-03,-1.81650423E+00,-41.37877E-03,+6.38230216E+00
-22.47500E-03,+6.53329E-03,-1.68808076E+00,-41.28957E-03,+6.36644161E+00
-22.45000E-03,+6.42274E-03,-1.58955704E+00,-41.26319E-03,+6.34769160E+00
-22.42500E-03,+6.35992E-03,-1.45764737E+00,-41.26822E-03,+6.33038633E+00
-22.40000E-03,+6.39133E-03,-1.32576923E+00,-41.18153E-03,+6.31100819E+00
-22.37500E-03,+6.32852E-03,-1.20736474E+00,-41.10239E-03,+6.29389134E+00
-22.35000E-03,+6.29711E-03,-1.05303061E+00,-41.06470E-03,+6.27768532E+00
-22.32500E-03,+6.30465E-03,-941.53557E-03,-40.97425E-03,+6.26411749E+00
-22.30000E-03,+6.32852E-03,-797.94263E-03,-40.83103E-03,+6.25048684E+00
-22.27500E-03,+6.32852E-03,-643.04313E-03,-40.80967E-03,+6.24279212E+00
-22.25000E-03,+6.26570E-03,-493.01155E-03,-40.73178E-03,+6.23296172E+00
-22.22500E-03,+6.26570E-03,-366.47273E-03,-40.66394E-03,+6.22784237E+00
-22.20000E-03,+6.56344E-03,-219.36223E-03,-40.65138E-03,+6.21892278E+00
-22.17500E-03,+6.98304E-03,-96.96895E-03,-40.55967E-03,+6.21132227E+00
-22.15000E-03,+7.01947E-03,-37.04456E-03,-40.49937E-03,+6.20227704E+00
-22.12500E-03,+7.03832E-03,-21.59231E-03,-40.32977E-03,+6.19056220E+00
-22.10000E-03,+7.09987E-03,-13.83479E-03,-40.26570E-03,+6.17712001E+00
-22.07500E-03,+7.10490E-03,-12.17023E-03,-40.21671E-03,+6.16091395E+00
-22.05000E-03,+7.05465E-03,-4.72674E-03,-40.20917E-03,+6.14470793E+00
-22.02500E-03,+7.11244E-03,-392.59E-06,-40.12374E-03,+6.12652325E+00
-22.00000E-03,+7.11369E-03,+1.17776E-03,-40.06595E-03,+6.10701948E+00
-21.97500E-03,+7.12249E-03,+10.88253E-03,-40.01696E-03,+6.09163004E+00
-21.95000E-03,+7.08229E-03,+17.22678E-03,-39.92022E-03,+6.07573810E+00
-21.92500E-03,+7.07098E-03,+32.23937E-03,-39.83982E-03,+6.06094538E+00
-21.90000E-03,+7.08229E-03,+74.73318E-03,-39.75063E-03,+6.05004715E+00
-21.87500E-03,+7.05088E-03,+159.78341E-03,-39.71420E-03,+6.04389137E+00
-21.85000E-03,+7.08229E-03,+211.95048E-03,-39.62500E-03,+6.03327578E+00
-21.82500E-03,+7.05088E-03,+336.60515E-03,-39.59862E-03,+6.03079464E+00
-21.80000E-03,+7.00314E-03,+440.31117E-03,-39.57224E-03,+6.02975821E+00
-21.77500E-03,+6.99937E-03,+579.35004E-03,-39.48304E-03,+6.02448182E+00
-21.75000E-03,+7.02575E-03,+685.22328E-03,-39.39384E-03,+6.01907980E+00
-21.72500E-03,+6.99058E-03,+795.58744E-03,-39.24560E-03,+6.01719540E+00
-21.70000E-03,+7.01947E-03,+908.74719E-03,-39.29837E-03,+6.01276699E+00
-21.67500E-03,+6.92525E-03,+1.02215787E+00,-39.17525E-03,+6.00585745E+00
-21.65000E-03,+6.94284E-03,+1.16675588E+00,-39.09987E-03,+5.99791147E+00
-21.62500E-03,+6.92525E-03,+1.26279868E+00,-39.06721E-03,+5.98845794E+00
-21.60000E-03,+6.95666E-03,+1.39546185E+00,-38.96043E-03,+5.97658608E+00
-21.57500E-03,+6.98555E-03,+1.52332003E+00,-38.86621E-03,+5.96408605E+00
-21.55000E-03,+6.91771E-03,+1.63173701E+00,-38.80590E-03,+5.94382852E+00
-21.52500E-03,+6.87751E-03,+1.77950718E+00,-38.78706E-03,+5.92784235E+00
-21.50000E-03,+6.85616E-03,+1.90130374E+00,-38.72801E-03,+5.91072551E+00
-21.47500E-03,+6.82726E-03,+2.02401095E+00,-38.61495E-03,+5.89376572E+00
-21.45000E-03,+6.78580E-03,+2.17721442E+00,-38.56972E-03,+5.87825063E+00
-21.42500E-03,+6.83480E-03,+2.29555627E+00,-38.54837E-03,+5.86597049E+00
-21.40000E-03,+6.85993E-03,+2.43245945E+00,-38.48681E-03,+5.85168029E+00
-21.37500E-03,+6.81847E-03,+2.57953866E+00,-38.34485E-03,+5.84398558E+00
-21.35000E-03,+6.81972E-03,+2.71314432E+00,-38.30088E-03,+5.83509739E+00
-21.32500E-03,+6.76696E-03,+2.84539928E+00,-38.20666E-03,+5.82997804E+00
-21.30000E-03,+6.79962E-03,+3.00620316E+00,-38.11244E-03,+5.82614640E+00
-21.27500E-03,+6.94661E-03,+3.13462672E+00,-38.10239E-03,+5.81842026E+00
-21.25000E-03,+6.89384E-03,+3.27850234E+00,-38.08103E-03,+5.81540517E+00
-21.22500E-03,+6.86746E-03,+3.43258509E+00,-38.01319E-03,+5.80871548E+00
-21.20000E-03,+6.83103E-03,+3.59788047E+00,-37.88128E-03,+5.80284238E+00
-21.17500E-03,+6.84611E-03,+3.76217062E+00,-37.81344E-03,+5.79342027E+00
-21.15000E-03,+6.81972E-03,+3.90636050E+00,-37.77575E-03,+5.78308731E+00
-21.12500E-03,+6.83731E-03,+4.05252863E+00,-37.65389E-03,+5.77284866E+00
-21.10000E-03,+6.80088E-03,+4.20554388E+00,-37.63882E-03,+5.75943781E+00
-21.07500E-03,+6.77198E-03,+4.39882279E+00,-37.55088E-03,+5.74461369E+00
-21.05000E-03,+6.71420E-03,+4.55849610E+00,-37.49309E-03,+5.72934988E+00
-21.02500E-03,+6.78580E-03,+4.73798746E+00,-37.44284E-03,+5.71452574E+00
-21.00000E-03,+6.63002E-03,+4.88544333E+00,-37.35867E-03,+5.70218281E+00
-20.97500E-03,+6.70540E-03,+5.07083921E+00,-37.28706E-03,+5.68588255E+00
-20.95000E-03,+6.64510E-03,+5.24404883E+00,-37.26193E-03,+5.67152954E+00
-20.92500E-03,+6.67399E-03,+5.41198210E+00,-37.23053E-03,+5.66320669E+00
-20.90000E-03,+6.69786E-03,+5.57847111E+00,-37.11495E-03,+5.65343909E+00
-20.87500E-03,+6.64887E-03,+5.73704514E+00,-37.05716E-03,+5.64329463E+00
-20.85000E-03,+6.59736E-03,+5.89854024E+00,-36.99937E-03,+5.63735868E+00
-20.82500E-03,+6.59736E-03,+6.05076986E+00,-36.87500E-03,+5.63145418E+00
-20.80000E-03,+7.95165E-03,+6.20208885E+00,-35.45665E-03,+5.62843911E+00
-20.77500E-03,+13.69663E-03,+6.26072572E+00,-29.70915E-03,+5.62774816E+00
-20.75000E-03,+25.00318E-03,+6.34901095E+00,-18.07471E-03,+5.63073184E+00
