x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-25.00000E-03,+4.03549E-03,+19.49945053E+00,+3.33637E-03,+18.87994676E+00
-24.97500E-03,+4.21113E-03,+19.49954868E+00,+3.50432E-03,+18.88073193E+00
-24.95000E-03,+4.30669E-03,+19.50259123E+00,+3.60537E-03,+18.88014305E+00
-24.92500E-03,+4.68899E-03,+19.50475047E+00,+3.98657E-03,+18.88073193E+00
-24.90000E-03,+5.03361E-03,+19.50965782E+00,+4.32758E-03,+18.88151711E+00
-24.87500E-03,+5.57294E-03,+19.51299481E+00,+4.87586E-03,+18.88230228E+00
-24.85000E-03,+5.97943E-03,+19.51849104E+00,+5.28298E-03,+18.88210599E+00
-24.82500E-03,+6.35953E-03,+19.52153360E+00,+5.66065E-03,+18.88308746E+00
-24.80000E-03,+6.51476E-03,+19.52693169E+00,+5.82004E-03,+18.88387264E+00
-24.77500E-03,+6.57758E-03,+19.52948351E+00,+5.88317E-03,+18.88622816E+00
-24.75000E-03,+6.48712E-03,+19.53085756E+00,+5.78486E-03,+18.88681704E+00
-24.72500E-03,+6.32129E-03,+19.53370383E+00,+5.62822E-03,+18.88887813E+00
-24.70000E-03,+6.02198E-03,+19.53164274E+00,+5.32726E-03,+18.88936887E+00
-24.67500E-03,+5.70312E-03,+19.53115201E+00,+5.00322E-03,+18.89035034E+00
-24.65000E-03,+5.32946E-03,+19.53105386E+00,+4.63112E-03,+18.89192069E+00
-24.62500E-03,+4.98618E-03,+19.52860018E+00,+4.28659E-03,+18.89172439E+00
-24.60000E-03,+4.60144E-03,+19.52693169E+00,+3.89353E-03,+18.89093922E+00
-24.57500E-03,+4.21553E-03,+19.52487060E+00,+3.51036E-03,+18.89093922E+00
-24.55000E-03,+3.87594E-03,+19.52065028E+00,+3.16771E-03,+18.89250957E+00
-24.52500E-03,+3.52952E-03,+19.51701884E+00,+2.81965E-03,+18.89152810E+00
-24.50000E-03,+3.28109E-03,+19.51397628E+00,+2.57538E-03,+18.89172439E+00
-24.47500E-03,+2.98618E-03,+19.51044299E+00,+2.27999E-03,+18.89250957E+00
-24.45000E-03,+2.76460E-03,+19.50867635E+00,+2.05166E-03,+18.89192069E+00
-24.42500E-03,+2.50267E-03,+19.50749858E+00,+1.79373E-03,+18.89250957E+00
-24.40000E-03,+2.34956E-03,+19.50494676E+00,+1.64667E-03,+18.89250957E+00
-24.37500E-03,+2.09328E-03,+19.50003941E+00,+1.38144E-03,+18.89182254E+00
-24.35000E-03,+1.89117E-03,+19.49788018E+00,+1.18295E-03,+18.89250957E+00
-24.32500E-03,+1.61448E-03,+19.49680056E+00,+904.92E-06,+18.89300030E+00
