x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-25.00000E-03,+818.82066E-03,+18.28007238E+00,+689.03109E-03,+17.39125328E+00
-24.97500E-03,+812.27425E-03,+18.28507788E+00,+683.79985E-03,+17.40921418E+00
-24.95000E-03,+806.41488E-03,+18.29047596E+00,+678.92195E-03,+17.42481955E+00
-24.92500E-03,+802.20437E-03,+18.29400925E+00,+673.19998E-03,+17.43934530E+00
-24.90000E-03,+797.34610E-03,+18.30166472E+00,+667.28171E-03,+17.45131923E+00
-24.87500E-03,+791.99709E-03,+18.31108683E+00,+662.75714E-03,+17.46152652E+00
-24.85000E-03,+787.35473E-03,+18.32345335E+00,+658.62515E-03,+17.47035975E+00
-24.82500E-03,+783.73311E-03,+18.33660504E+00,+653.52151E-03,+17.47673930E+00
-24.80000E-03,+779.56186E-03,+18.35309374E+00,+647.73083E-03,+17.48390403E+00
-24.77500E-03,+773.87915E-03,+18.37174166E+00,+643.28478E-03,+17.49205023E+00
-24.75000E-03,+768.11793E-03,+18.38881924E+00,+638.28909E-03,+17.50157049E+00
-24.72500E-03,+763.26946E-03,+18.40501349E+00,+631.98806E-03,+17.51393701E+00
-24.70000E-03,+757.57694E-03,+18.41787075E+00,+625.66739E-03,+17.52787388E+00
-24.67500E-03,+750.42202E-03,+18.43249465E+00,+620.37727E-03,+17.54485331E+00
-24.65000E-03,+744.75894E-03,+18.44358526E+00,+613.96827E-03,+17.56183274E+00
-24.62500E-03,+739.33141E-03,+18.45398884E+00,+606.93113E-03,+17.57753626E+00
-24.60000E-03,+731.74465E-03,+18.46144801E+00,+601.24842E-03,+17.59304348E+00
-24.57500E-03,+725.08047E-03,+18.46655165E+00,+594.82961E-03,+17.60756923E+00
-24.55000E-03,+719.06406E-03,+18.47302935E+00,+587.17415E-03,+17.61934687E+00
-24.52500E-03,+711.31045E-03,+18.47666079E+00,+581.33440E-03,+17.63033933E+00
-24.50000E-03,+704.77386E-03,+18.47950705E+00,+574.55244E-03,+17.63858368E+00
-24.47500E-03,+699.09115E-03,+18.48156814E+00,+566.72031E-03,+17.64692617E+00
-24.45000E-03,+691.03328E-03,+18.48519958E+00,+560.45854E-03,+17.65330573E+00
-24.42500E-03,+684.37892E-03,+18.48883102E+00,+553.45084E-03,+17.65880196E+00
-24.40000E-03,+677.33197E-03,+18.48971434E+00,+545.57945E-03,+17.66606484E+00
-24.37500E-03,+669.13669E-03,+18.49295319E+00,+539.66119E-03,+17.67077589E+00
-24.35000E-03,+662.47251E-03,+18.49383651E+00,+532.05480E-03,+17.67489807E+00
-24.32500E-03,+655.35686E-03,+18.49736981E+00,+524.15397E-03,+17.67794062E+00
-24.30000E-03,+646.98492E-03,+18.50149198E+00,+517.19535E-03,+17.68137577E+00
-24.27500E-03,+639.74167E-03,+18.50502527E+00,+508.43082E-03,+17.68432018E+00
-24.25000E-03,+630.82992E-03,+18.50620303E+00,+500.72628E-03,+17.68687200E+00
-24.22500E-03,+623.26279E-03,+18.50983447E+00,+491.66732E-03,+17.68804976E+00
-24.20000E-03,+615.06752E-03,+18.51248444E+00,+483.07945E-03,+17.68962011E+00
-24.17500E-03,+605.35097E-03,+18.51631217E+00,+474.96270E-03,+17.69138676E+00
-24.15000E-03,+597.16551E-03,+18.51699920E+00,+464.98115E-03,+17.69374229E+00
-24.12500E-03,+586.28101E-03,+18.51690106E+00,+455.89274E-03,+17.69747187E+00
-24.10000E-03,+577.06501E-03,+18.51837326E+00,+444.91991E-03,+17.69786446E+00
-24.07500E-03,+565.81736E-03,+18.51748994E+00,+434.74207E-03,+17.69796261E+00
-24.05000E-03,+555.25675E-03,+18.51660661E+00,+423.46498E-03,+17.69747187E+00
-24.02500E-03,+543.13559E-03,+18.51395665E+00,+411.61864E-03,+17.69590152E+00
-24.00000E-03,+529.48335E-03,+18.51248444E+00,+399.22267E-03,+17.69276082E+00
-23.97500E-03,+514.60427E-03,+18.50669377E+00,+384.30433E-03,+17.68942382E+00
-23.95000E-03,+499.98037E-03,+18.50070680E+00,+368.54192E-03,+17.68471276E+00
-23.92500E-03,+482.16669E-03,+18.49413095E+00,+349.63882E-03,+17.67695915E+00
-23.90000E-03,+461.52638E-03,+18.49128469E+00,+329.02795E-03,+17.66881295E+00
-23.87500E-03,+439.12924E-03,+18.48205888E+00,+307.50432E-03,+17.65909640E+00
-23.85000E-03,+415.06359E-03,+18.47420712E+00,+282.64368E-03,+17.64682803E+00
-23.82500E-03,+388.53447E-03,+18.45673695E+00,+255.35882E-03,+17.61669690E+00
-23.80000E-03,+359.96388E-03,+18.42611509E+00,+225.07066E-03,+17.57655479E+00
-23.77500E-03,+327.61463E-03,+18.37625643E+00,+195.62657E-03,+17.53238864E+00
-23.75000E-03,+292.81171E-03,+18.32816440E+00,+161.47142E-03,+17.49862608E+00
-23.72500E-03,+258.60749E-03,+18.29734625E+00,+127.42423E-03,+17.47811336E+00
-23.70000E-03,+221.49811E-03,+18.28085756E+00,+90.72707E-03,+17.44896370E+00
-23.67500E-03,+183.92745E-03,+18.25053014E+00,+54.88379E-03,+17.39733839E+00
-23.65000E-03,+145.35568E-03,+18.18114022E+00,+17.11683E-03,+17.33727243E+00
-23.62500E-03,+106.99003E-03,+18.10811886E+00,-19.50181E-03,+17.30488393E+00
-23.60000E-03,+66.77921E-03,+18.06964524E+00,-57.90672E-03,+17.28603971E+00
-23.57500E-03,+30.10168E-03,+17.97993890E+00,-95.59516E-03,+17.26582143E+00
-23.55000E-03,+10.75691E-03,+17.48625956E+00,-114.40012E-03,+17.24187356E+00
-23.52500E-03,+17.49961E-03,+17.29771920E+00,-108.23649E-03,+17.24599574E+00
-23.50000E-03,+17.58794E-03,+17.14745616E+00,-107.96168E-03,+17.24167727E+00
-23.47500E-03,+17.57812E-03,+16.99650610E+00,-107.87335E-03,+17.23686807E+00
-23.45000E-03,+17.90201E-03,+16.84791156E+00,-108.00094E-03,+17.23048851E+00
-23.42500E-03,+17.80386E-03,+16.69391894E+00,-107.77520E-03,+17.22646449E+00
-23.40000E-03,+17.62720E-03,+16.55739649E+00,-107.68687E-03,+17.22087011E+00
-23.37500E-03,+17.62720E-03,+16.42372029E+00,-107.74576E-03,+17.21576647E+00
-23.35000E-03,+17.72535E-03,+16.27355540E+00,-107.62798E-03,+17.20928877E+00
