x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-23.27500E-03,+401.29E-06,+15.95717642E+00,-161.29E-06,+18.85717666E+00
-23.25000E-03,+391.65E-06,+15.84712627E+00,-176.57E-06,+18.85717666E+00
-23.22500E-03,+378.78E-06,+15.68330723E+00,-181.39E-06,+18.85717666E+00
-23.20000E-03,+386.42E-06,+15.56069394E+00,-165.72E-06,+18.85717666E+00
-23.17500E-03,+398.48E-06,+15.44461370E+00,-183.81E-06,+18.85717666E+00
-23.15000E-03,+401.70E-06,+15.28531722E+00,-177.37E-06,+18.85918676E+00
-23.12500E-03,+391.65E-06,+15.16370906E+00,-160.49E-06,+18.86973941E+00
-23.10000E-03,+391.65E-06,+15.05265395E+00,-205.92E-06,+18.85918665E+00
-23.07500E-03,+395.26E-06,+14.88682469E+00,-163.30E-06,+18.86119670E+00
-23.05000E-03,+376.37E-06,+14.76069397E+00,-181.39E-06,+18.85717666E+00
-23.02500E-03,+391.65E-06,+14.64762870E+00,-199.89E-06,+18.85717666E+00
-23.00000E-03,+383.61E-06,+14.48280470E+00,-164.51E-06,+18.85717666E+00
-22.97500E-03,+401.29E-06,+14.40793014E+00,-189.84E-06,+18.85717666E+00
-22.95000E-03,+401.70E-06,+14.27325696E+00,-174.16E-06,+18.85717666E+00
-22.92500E-03,+408.93E-06,+14.14762862E+00,-177.78E-06,+18.85717666E+00
-22.90000E-03,+396.07E-06,+14.03707592E+00,-203.91E-06,+18.85717666E+00
-22.87500E-03,+393.66E-06,+13.88481468E+00,-172.55E-06,+18.85717666E+00
-22.85000E-03,+406.92E-06,+13.79787993E+00,-205.52E-06,+18.85717666E+00
-22.82500E-03,+393.25E-06,+13.66772931E+00,-208.33E-06,+18.85717666E+00
-22.80000E-03,+382.40E-06,+13.55868395E+00,-192.25E-06,+18.85717666E+00
-22.77500E-03,+404.11E-06,+13.45818157E+00,-228.83E-06,+18.85717666E+00
-22.75000E-03,+393.66E-06,+13.29938739E+00,-208.73E-06,+18.85717666E+00
-22.72500E-03,+391.65E-06,+13.20139737E+00,-203.91E-06,+18.85717666E+00
-22.70000E-03,+396.07E-06,+13.04612119E+00,-202.30E-06,+18.86622181E+00
-22.67500E-03,+410.54E-06,+12.88682471E+00,-174.16E-06,+18.85717666E+00
-22.65000E-03,+382.00E-06,+12.82752829E+00,-199.49E-06,+18.85717666E+00
-22.62500E-03,+391.65E-06,+12.66873425E+00,-180.59E-06,+18.85717666E+00
-22.60000E-03,+394.46E-06,+12.53104566E+00,-176.97E-06,+18.86973947E+00
-22.57500E-03,+386.82E-06,+12.43808098E+00,-185.82E-06,+18.85717666E+00
-22.55000E-03,+388.43E-06,+12.27878449E+00,-177.37E-06,+18.86119683E+00
-22.52500E-03,+400.09E-06,+12.14059338E+00,-193.86E-06,+18.85717666E+00
-22.50000E-03,+401.70E-06,+12.02300544E+00,-190.64E-06,+18.85717673E+00
-22.47500E-03,+391.65E-06,+11.86370911E+00,-183.81E-06,+18.86772950E+00
-22.45000E-03,+378.38E-06,+11.70390987E+00,-207.53E-06,+18.86973947E+00
-22.42500E-03,+386.42E-06,+11.58230191E+00,-185.01E-06,+18.86973947E+00
-22.40000E-03,+388.03E-06,+11.43154822E+00,-201.50E-06,+18.85717666E+00
