Column1;Column2
196,7344394;0,00217497
196,9382936;0,00165965
197,1421647;0,0019879
197,3460525;0,00216417
197,549957;0,00181111
197,7538784;0,00180982
197,9578165;0,00151883
198,1617713;0,00151988
198,3657429;0,00134964
198,5697313;0,00242697
198,7737364;0,00253706
198,9777582;0,00243681
199,1817968;0,0031917
199,3858521;0,00278641
199,5899242;0,00340645
199,794013;0,0033817
199,9981185;0,00268706
200,2022408;0,00299921
200,4063797;0,00266271
200,6105354;0,00263182
200,8147079;0,0020776
201,018897;0,00215312
201,2231029;0,00231483
201,4273255;0,0015308
201,6315647;0,00207299
201,8358207;0,00156861
202,0400934;0,00147694
202,2443828;0,00154114
202,448689;0,00181214
202,6530118;0,00139125
202,8573512;0,00175105
203,0617074;0,00235975
203,2660803;0,00238655
203,4704699;0,00280876
203,6748761;0,00279619
203,879299;0,00341042
204,0837387;0,00270665
204,2881949;0,00314042
204,4926679;0,00285666
204,6971575;0,00249053
204,9016638;0,0023872
205,1061868;0,00298145
205,3107264;0,00238506
205,5152827;0,00236832
205,7198556;0,00182732
205,9244452;0,00160834
206,1290515;0,00153014
206,3336744;0,00179275
206,5383139;0,00179045
206,7429701;0,00109661
206,9476429;0,00153112
207,1523324;0,00246785
207,3570385;0,00212601
207,5617612;0,00290376
207,7665006;0,00277576
207,9712566;0,00360156
208,1760292;0,00318223
208,3808185;0,00278576
208,5856243;0,00300141
208,7904468;0,00300714
208,9952859;0,00238784
209,2001416;0,00250473
209,4050139;0,00292584
209,6099029;0,00187894
209,8148084;0,00195735
210,0197305;0,00152581
210,2246693;0,00184239
210,4296246;0,00222394
210,6345965;0,00124801
210,839585;0,00129189
211,0445901;0,00124079
211,2496118;0,00182462
211,4546501;0,00248317
211,6597049;0,00254203
211,8647764;0,00307283
212,0698644;0,00320481
212,2749689;0,00334174
212,4800901;0,00344694
212,6852278;0,00291338
212,8903821;0,00317154
213,0955529;0,00294858
213,3007403;0,00215395
213,5059442;0,0028051
213,7111648;0,00208314
213,9164018;0,00206985
214,1216554;0,00197204
214,3269256;0,00231305
214,5322123;0,00172683
214,7375155;0,00202216
214,9428353;0,00099031
215,1481716;0,00159397
215,3535244;0,00140878
215,5588938;0,00176368
215,7642797;0,00236951
215,9696821;0,0032511
216,1751011;0,00308812
216,3805365;0,00324341
216,5859885;0,00349832
216,791457;0,00299506
216,996942;0,00348672
217,2024435;0,00269587
217,4079615;0,00301137
217,6134961;0,0020542
217,8190471;0,00218485
218,0246146;0,0019743
218,2301986;0,0023962
218,4357991;0,00235256
218,6414161;0,0021463
