Column1;Column2
196,7344394;0,00231111
196,9382936;0,0020859
197,1421647;0,0024876
197,3460525;0,00232563
197,549957;0,00201822
197,7538784;0,00167822
197,9578165;0,00151204
198,1617713;0,00141761
198,3657429;0,00240518
198,5697313;0,00263436
198,7737364;0,00312172
198,9777582;0,00276606
199,1817968;0,00276373
199,3858521;0,00241319
199,5899242;0,00257154
199,794013;0,00279896
199,9981185;0,00190142
200,2022408;0,00286443
200,4063797;0,00155226
200,6105354;0,00183716
200,8147079;0,00178246
201,018897;0,00210092
201,2231029;0,00230163
201,4273255;0,00173036
201,6315647;0,00206422
201,8358207;0,00217215
202,0400934;0,00130465
202,2443828;0,00124646
202,448689;0,00162899
202,6530118;0,00226597
202,8573512;0,00210243
203,0617074;0,00282456
203,2660803;0,00270422
203,4704699;0,00261269
203,6748761;0,00210238
203,879299;0,00222922
204,0837387;0,0023022
204,2881949;0,0022717
204,4926679;0,00244139
204,6971575;0,0022257
204,9016638;0,00189772
205,1061868;0,00223314
205,3107264;0,00230229
205,5152827;0,00194702
205,7198556;0,00257663
205,9244452;0,00218668
206,1290515;0,00222761
206,3336744;0,00177975
206,5383139;0,00136147
206,7429701;0,00187632
206,9476429;0,00237685
207,1523324;0,00278208
207,3570385;0,00272521
207,5617612;0,00271676
207,7665006;0,00253934
207,9712566;0,00276946
208,1760292;0,00260851
208,3808185;0,00258256
208,5856243;0,00180871
208,7904468;0,00250746
208,9952859;0,00194081
209,2001416;0,00204359
209,4050139;0,00185853
209,6099029;0,00165701
209,8148084;0,00219172
210,0197305;0,00179732
210,2246693;0,00168201
210,4296246;0,00196935
210,6345965;0,00135862
210,839585;0,00204921
211,0445901;0,00175977
211,2496118;0,0023665
211,4546501;0,00272198
211,6597049;0,00306812
211,8647764;0,00349812
212,0698644;0,00314561
212,2749689;0,00261976
212,4800901;0,00288963
212,6852278;0,00227601
212,8903821;0,002534
213,0955529;0,00282222
213,3007403;0,00144855
213,5059442;0,00203881
213,7111648;0,00172798
213,9164018;0,002241
214,1216554;0,00191091
214,3269256;0,00250533
214,5322123;0,00160621
214,7375155;0,0015856
214,9428353;0,00043477
215,1481716;0,0015608
215,3535244;0,00239385
215,5588938;0,00225173
215,7642797;0,0024594
215,9696821;0,00304898
216,1751011;0,00277664
216,3805365;0,00279485
216,5859885;0,00227963
216,791457;0,00217808
216,996942;0,00204045
217,2024435;0,00254362
217,4079615;0,00229586
217,6134961;0,00221506
217,8190471;0,00191353
218,0246146;0,00224453
218,2301986;0,00232336
218,4357991;0,00274521
218,6414161;0,00199168
218,8470496;0,00170593
219,0526996;0,00195424
219,258366;0,00108664
219,464049;0,00244937
219,6697484;0,00245218
219,8754643;0,002925
220,0811966;0,00294471
220,2869455;0,00313914
220,4927107;0,00203452
220,6984925;0,00297084
220,9042907;0,00253617
221,1101054;0,0030756
221,3159365;0,00229903
221,5217841;0,00193543
221,7276481;0,00197933
221,9335286;0,00201275
222,1394255;0,00201225
222,3453389;0,002314
222,5512687;0,00234086
222,7572149;0,00174699
222,9631776;0,00169307
223,1691567;0,00109507
223,3751522;0,00188563
223,5811642;0,00223953
223,7871926;0,00267395
223,9932374;0,00310684
224,1992986;0,00303976
224,4053763;0,00337389
224,6114703;0,00320083
224,8175808;0,00312726
225,0237077;0,00268732
225,2298509;0,00203433
225,4360106;0,00220348
225,6421867;0,00250137
225,8483792;0,00292743
226,054588;0,00179846
226,2608133;0,00179689
226,4670549;0,00233694
226,673313;0,00196623
226,8795874;0,00191255
227,0858782;0,00185517
227,2921854;0,00200411
227,4985089;0,0017344
227,7048489;0,00226138
227,9112052;0,0023001
228,1175778;0,00314144
228,3239668;0,00323567
228,5303722;0,00313328
228,736794;0,00321783
228,9432321;0,0030576
229,1496866;0,00285654
229,3561574;0,00189038
229,5626445;0,00201163
229,7691481;0,00206808
229,9756679;0,00155607
230,1822041;0,00214735
230,3887566;0,00237916
230,5953255;0,00205067
230,8019107;0,0017254
