Column1;Column2
196,7344394;0,00164269
196,9382936;0,0018115
197,1421647;0,00142025
197,3460525;0,00091924
197,549957;0,00080221
197,7538784;0,00079716
197,9578165;0,00073148
198,1617713;0,00136045
198,3657429;0,001685
198,5697313;0,0022978
198,7737364;0,00162188
198,9777582;0,00176851
199,1817968;0,00208565
199,3858521;0,00150472
199,5899242;0,00216225
199,794013;0,0024827
199,9981185;0,00175723
200,2022408;0,00184265
200,4063797;0,00168275
200,6105354;0,00180672
200,8147079;0,00194242
201,018897;0,00187369
201,2231029;0,0016977
201,4273255;0,00060393
201,6315647;0,00115668
201,8358207;0,00107978
202,0400934;0,00054266
202,2443828;0,00089575
202,448689;0,00157702
202,6530118;0,00140008
202,8573512;0,00137124
203,0617074;0,00238368
203,2660803;0,00179556
203,4704699;0,00181301
203,6748761;0,00201824
203,879299;0,00213942
204,0837387;0,00184641
204,2881949;0,00236342
204,4926679;0,00221682
204,6971575;0,00197816
204,9016638;0,00216531
205,1061868;0,00150161
205,3107264;0,00168963
205,5152827;0,001253
205,7198556;0,00158745
205,9244452;0,00117605
206,1290515;0,00147771
206,3336744;0,00116769
206,5383139;0,00117133
206,7429701;0,00089984
206,9476429;0,00175921
207,1523324;0,00239437
207,3570385;0,00232925
207,5617612;0,00215746
207,7665006;0,00158394
207,9712566;0,00220397
208,1760292;0,00199198
208,3808185;0,00200913
208,5856243;0,00208564
208,7904468;0,00211138
208,9952859;0,00237017
209,2001416;0,00148801
209,4050139;0,0019714
209,6099029;0,00129021
209,8148084;0,00144033
210,0197305;0,00089647
210,2246693;0,00116591
210,4296246;0,00129807
210,6345965;0,00069801
210,839585;0,00149455
211,0445901;0,00152719
211,2496118;0,0022081
211,4546501;0,00208086
211,6597049;0,00205963
211,8647764;0,00245925
212,0698644;0,00246337
212,2749689;0,00243453
212,4800901;0,00249439
212,6852278;0,00192953
212,8903821;0,00211145
213,0955529;0,0022042
213,3007403;0,00181102
213,5059442;0,00194948
213,7111648;0,00162812
213,9164018;0,00144156
214,1216554;0,00096796
214,3269256;0,00147499
214,5322123;0,00092697
214,7375155;0,00108299
214,9428353;0,00077705
215,1481716;0,00128805
215,3535244;0,00122096
215,5588938;0,00107657
215,7642797;0,00168479
215,9696821;0,0021802
216,1751011;0,00165471
216,3805365;0,00196067
216,5859885;0,00159987
216,791457;0,00180511
216,996942;0,00198928
217,2024435;0,00255102
217,4079615;0,00222351
217,6134961;0,00177247
217,8190471;0,00173607
218,0246146;0,00151354
218,2301986;0,00151061
218,4357991;0,00194421
218,6414161;0,00149794
218,8470496;0,0009317
219,0526996;0,00155476
219,258366;0,00108018
219,464049;0,00200641
219,6697484;0,00143517
219,8754643;0,00206794
220,0811966;0,0020584
220,2869455;0,00170896
220,4927107;0,00183674
220,6984925;0,00196073
220,9042907;0,00219804
221,1101054;0,00243443
221,3159365;0,0018912
221,5217841;0,00179558
221,7276481;0,00144277
221,9335286;0,00228958
222,1394255;0,00168462
222,3453389;0,00170824
222,5512687;0,00104211
222,7572149;0,00139385
222,9631776;0,0013384
223,1691567;0,00149806
223,3751522;0,00148805
223,5811642;0,00229141
223,7871926;0,00170236
223,9932374;0,00199718
224,1992986;0,00187941
224,4053763;0,00225096
224,6114703;0,00272438
224,8175808;0,0020526
225,0237077;0,00199661
225,2298509;0,00192919
225,4360106;0,00233685
225,6421867;0,00228276
225,8483792;0,00223518
226,054588;0,00104925
226,2608133;0,00142103
226,4670549;0,00151465
226,673313;0,00130935
226,8795874;0,00111331
