Column1;Column2
196,7344394;0,00250418
196,9382936;0,00231469
197,1421647;0,00187726
197,3460525;0,0021831
197,549957;0,00213561
197,7538784;0,00169845
197,9578165;0,00080381
198,1617713;0,00147858
198,3657429;0,0008433
198,5697313;0,00116784
198,7737364;0,00147735
198,9777582;0,00182874
199,1817968;0,00159305
199,3858521;0,00177127
199,5899242;0,00209805
199,794013;0,00232171
199,9981185;0,00178513
200,2022408;0,00221234
200,4063797;0,00173042
200,6105354;0,00246166
200,8147079;0,00153149
201,018897;0,00198303
201,2231029;0,0024287
201,4273255;0,00170625
201,6315647;0,00195747
201,8358207;0,00248804
202,0400934;0,00087677
202,2443828;0,00126228
202,448689;0,00110581
202,6530118;0,00144381
202,8573512;0,0004608
203,0617074;0,00164484
203,2660803;0,00120344
203,4704699;0,00210453
203,6748761;0,00151457
203,879299;0,0018397
204,0837387;0,00228332
204,2881949;0,00214656
204,4926679;0,00180955
204,6971575;0,00153494
204,9016638;0,00189088
205,1061868;0,00224371
205,3107264;0,00233106
205,5152827;0,0020315
205,7198556;0,00186259
205,9244452;0,00190658
206,1290515;0,0018915
206,3336744;0,00136269
206,5383139;0,0012009
206,7429701;0,00102665
206,9476429;0,00083395
207,1523324;0,00155816
207,3570385;0,0018508
207,5617612;0,00168369
207,7665006;0,00171263
207,9712566;0,00218383
208,1760292;0,00150406
208,3808185;0,00175153
208,5856243;0,00165733
208,7904468;0,00209668
208,9952859;0,00208882
209,2001416;0,00187251
209,4050139;0,00224583
209,6099029;0,00197601
209,8148084;0,00223811
210,0197305;0,00207668
210,2246693;0,00207563
210,4296246;0,00183102
210,6345965;0,00094255
210,839585;0,00189273
211,0445901;0,0011441
211,2496118;0,00110099
211,4546501;0,00156054
211,6597049;0,00210769
211,8647764;0,00263317
212,0698644;0,00207471
212,2749689;0,00183273
212,4800901;0,00224668
212,6852278;0,00150785
212,8903821;0,00223458
213,0955529;0,00179949
213,3007403;0,00160559
213,5059442;0,00237827
213,7111648;0,00235713
213,9164018;0,0024207
214,1216554;0,0022027
214,3269256;0,00244388
214,5322123;0,00095642
214,7375155;0,00103847
214,9428353;0,00033961
215,1481716;0,00091247
215,3535244;0,00095064
215,5588938;0,00089014
215,7642797;0,00142855
215,9696821;0,00210697
216,1751011;0,00201139
216,3805365;0,00210142
216,5859885;0,0018637
216,791457;0,00190724
216,996942;0,00181663
217,2024435;0,00205225
217,4079615;0,00266081
217,6134961;0,00180777
217,8190471;0,00209732
218,0246146;0,00214943
218,2301986;0,00249504
218,4357991;0,0029986
218,6414161;0,00189219
218,8470496;0,00140519
219,0526996;0,00176339
219,258366;0,00056487
219,464049;0,00116248
219,6697484;0,00070939
219,8754643;0,00143484
220,0811966;0,00188973
220,2869455;0,0018128
220,4927107;0,0018248
220,6984925;0,00200215
220,9042907;0,00193346
221,1101054;0,0020932
221,3159365;0,00186827
221,5217841;0,00220167
221,7276481;0,00200689
221,9335286;0,0025313
222,1394255;0,00246053
222,3453389;0,00218347
222,5512687;0,00212403
222,7572149;0,0019614
222,9631776;0,00158839
223,1691567;0,00096757
223,3751522;0,00088118
223,5811642;0,00120953
223,7871926;0,00090937
223,9932374;0,00117434
