Column1;Column2
196,7344394;0,00044666
196,9382936;0,00078101
197,1421647;0,00202425
197,3460525;0,00110376
197,549957;0,00143063
197,7538784;0,00142042
197,9578165;0,00101611
198,1617713;0,00099948
198,3657429;0,00090347
198,5697313;0,00186051
198,7737364;0,00178125
198,9777582;0,00155012
199,1817968;0,00167007
199,3858521;0,00165868
199,5899242;0,002088
199,794013;0,00197976
199,9981185;0,00109195
200,2022408;0,00135425
200,4063797;0,00098596
200,6105354;0,00134922
200,8147079;0,00107615
201,018897;0,00100505
201,2231029;0,00127845
201,4273255;0,00049505
201,6315647;0,00183539
201,8358207;0,00122331
202,0400934;0,00076053
202,2443828;0,00122623
202,448689;0,00072226
202,6530118;0,00111618
202,8573512;0,00096448
203,0617074;0,00170184
203,2660803;0,00166817
203,4704699;0,00148216
203,6748761;0,00124139
203,879299;0,00164351
204,0837387;0,00140842
204,2881949;0,00164556
204,4926679;0,00132036
204,6971575;0,00094642
204,9016638;0,00143468
205,1061868;0,00123937
205,3107264;0,00121649
205,5152827;0,00085286
205,7198556;0,00096957
205,9244452;0,00133684
206,1290515;0,00175388
206,3336744;0,00153293
206,5383139;0,00105103
206,7429701;0,00091749
206,9476429;0,00121966
207,1523324;0,00176542
207,3570385;0,00216168
207,5617612;0,00190976
207,7665006;0,00206139
207,9712566;0,00220456
208,1760292;0,0014652
208,3808185;0,00134113
208,5856243;0,00152652
208,7904468;0,00135063
208,9952859;0,00106599
209,2001416;0,00061361
209,4050139;0,0013998
209,6099029;0,00067995
209,8148084;0,00074856
210,0197305;0,001128
210,2246693;0,00136506
210,4296246;0,00162442
210,6345965;0,00100386
210,839585;0,00147817
211,0445901;0,00127021
211,2496118;0,00138672
211,4546501;0,00192207
211,6597049;0,00209985
211,8647764;0,00245849
212,0698644;0,00201659
212,2749689;0,00192278
212,4800901;0,00141986
212,6852278;0,00114895
212,8903821;0,00168276
213,0955529;0,001588
213,3007403;0,00084126
213,5059442;0,00121625
213,7111648;0,00088788
213,9164018;0,00130908
214,1216554;0,00111008
214,3269256;0,0015319
214,5322123;0,00124141
214,7375155;0,00132146
214,9428353;0,00059224
215,1481716;0,00132476
215,3535244;0,00061828
215,5588938;0,0014522
215,7642797;0,0018386
215,9696821;0,00180879
216,1751011;0,00234665
216,3805365;0,00162573
216,5859885;0,00182159
216,791457;0,00135542
216,996942;0,0015721
217,2024435;0,00142418
217,4079615;0,00144137
217,6134961;0,00082294
217,8190471;0,00054082
218,0246146;0,0013046
218,2301986;0,00192151
218,4357991;0,00203748
218,6414161;0,00157726
218,8470496;0,00138601
219,0526996;0,00147784
219,258366;0,00079143
219,464049;0,00173558
219,6697484;0,00087499
219,8754643;0,00187603
220,0811966;0,00177747
220,2869455;0,00165292
220,4927107;0,00173338
220,6984925;0,00138898
220,9042907;0,00218054
221,1101054;0,00175608
221,3159365;0,00085729
221,5217841;0,00118965
221,7276481;0,00104264
221,9335286;0,00099929
222,1394255;0,00149445
222,3453389;0,00186492
222,5512687;0,00142726
222,7572149;0,00122109
222,9631776;0,00101277
223,1691567;0,00067688
223,3751522;0,00101718
223,5811642;0,0016569
223,7871926;0,00165438
223,9932374;0,00162772
224,1992986;0,00167925
224,4053763;0,00181007
224,6114703;0,0022875
224,8175808;0,0022432
225,0237077;0,00090474
225,2298509;0,00153099
225,4360106;0,00135476
225,6421867;0,00167309
225,8483792;0,0016168
226,054588;0,00032028
226,2608133;0,00121287
226,4670549;0,00103228
226,673313;0,00096489
226,8795874;0,00123337
227,0858782;0,00119176
227,2921854;0,00190038
227,4985089;0,00116611
227,7048489;0,00149174
227,9112052;0,00126822
228,1175778;0,00241629
228,3239668;0,00188632
228,5303722;0,00167962
228,736794;0,00205915
228,9432321;0,00213348
229,1496866;0,00148656
229,3561574;0,00052247
